income,age,score
36196.371320026,72,26.031945457037825
19182.155001562143,61,31.50108902240038
42095.18060178361,66,26.709438353320774
101015.56131770952,57,20.648818074650233
17428.230714076562,28,41.59629495038699
17428.516849181196,78,12.949148715836916
106853.37167931243,20,55.24676406249293
47450.1387969019,76,40.04527942814413
13773.828899889326,23,1.9703866701759425
37894.45383617891,26,24.990487324032415
13857.505901821502,23,41.83624897655612
13825.503516211034,26,7.894105358318979
28056.12568403587,56,8.663211038894838
3251.005965714975,48,10.474535954968802
3924.845111842726,49,38.79535569327556
12552.96875487899,58,10.72369927630003
7999.776475151595,67,30.26517515786948
30159.261404921148,29,39.34549117108194
8883.722285743124,25,43.583967941179196
,25,18.598278175493903
95382.34418968004,67,53.653746325169
17574.84152403259,45,7.365969169722534
23565.24426026957,79,27.62052646843228
5298.885602680598,37,31.060139162306633
12779.751400021225,79,16.367376622285796
24610.355526620457,64,65.2675291783386
6967.462816095673,76,42.460660374530654
32070.696749435803,24,31.707067665987182
12080.662468360313,28,51.848920366396975
16453.709794769762,37,21.825426187644588
12067.768145676517,33,21.29821256853246
140403.8489692441,21,42.75511550305253
21731.16697604606,23,40.34068605164691
7648.685416272549,75,38.193122189263626
50138.52291695717,39,29.598283980727082
6497.393334753408,43,12.129163888556514
27142.704951043062,20,47.834287951363116
3103.6368371587087,58,22.982821753385675
5836.0761104503945,77,30.001200229110896
26818.875703243204,59,38.05426760401059
46095.31421974837,31,26.502123867434523
26143.824405204305,28,22.303058967645203
19620.921857397316,35,21.7719983540192
16299.607461865124,71,48.19375121779571
5021.470055876356,29,46.73829038375336
10723.102355653436,40,24.476408043827842
13896.068384041657,29,22.895316924878273
63393.85593704241,30,11.349520841156979
31058.20456230627,42,28.48135174853006
3778.0370116447066,62,11.598271902977705
30457.39099786559,68,9.848766913943987
14986.689501631581,75,31.669847897264514
11193.382110971006,36,45.570515964879945
40606.209970866876,72,39.608308842016015
61759.27974656065,63,8.745271921957789
55897.789756188,53,53.71562604992671
9516.500605720707,62,29.51728511926117
16167.973566397854,25,19.696607106405345
30676.845519479393,46,50.70110225543195
58427.68572549429,72,20.607463261460595
13640.87067931674,70,34.932633615216524
18294.230636104792,72,20.18664766874629
7285.6724901890175,49,46.10931882071762
6659.457980540537,68,15.73059684872861
49638.68868119607,61,10.85155121397117
85497.29598948982,35,33.45901719911564
20496.09949362894,23,62.89642488339582
60086.0450402518,35,23.940529173481753
31622.874840345532,36,22.566682970640908
11555.077680902401,39,31.588875839064535
31615.272997200005,54,27.93334011260716
102542.90408961695,49,34.67354624154557
21251.313004484164,73,37.57728902034642
105307.8933407908,58,8.143588904854447
1603.9985684046467,76,37.05477350731108
50106.32388592713,20,42.02057955023141
24029.72941189246,45,39.51943606519975
16333.812905161829,27,26.477526704289524
,68,22.31886136882632
3018.2458142533906,52,39.634727255343996
17682.453729420096,78,41.41744340358069
31480.15327587638,46,26.119632365137292
96557.50771911746,71,12.493271900124855
13117.857931159022,32,16.992786033160172
9813.422761981241,50,42.07092053958607
13336.27381736074,24,16.833014697540246
55017.25364750255,29,25.078851110804923
30599.872144875004,66,21.707024457710826
12967.99653517715,47,30.06595173964735
36800.52657336042,38,65.27524309371022
24271.972032840185,48,57.973221833393396
58025.914445824856,75,17.28669321803956
10915.585465069042,78,14.42084863089145
15872.413056359546,41,53.44279475929214
14881.76395714003,37,32.77923359717765
5097.395754230682,54,77.07431101009918
29617.48801189464,21,30.756112866936654
28596.947838510954,45,36.397634752517476
22139.385631933772,61,65.39525496171012
17420.672707512447,79,15.251741474967941
5348.809319135454,37,25.447607956272943
14463.082933406993,77,26.88971878550458
,41,17.497087975532192
9874.616274920081,67,6.847887290078495
18745.59908410184,66,51.152726995650745
32993.00528148454,68,25.609826746717072
145246.25644684047,49,5.068000427873712
26227.86863603573,58,33.09483461656275
28496.89436650375,53,43.903728579098214
20446.23596694802,75,11.657444305862382
3233.2037079693155,70,37.25904093655109
21450.1329945869,51,42.17937189233139
23393.891258633113,53,10.499049179579695
,19,11.891205515903922
18172.03286117661,32,7.891557524736573
,51,26.929841394104333
21275.00589005226,53,9.656872748434347
6845.330105743006,23,30.042939532445573
